Scenario,Cumulative Reward (Action Penalty Based),Avg Action Penalty per Step,Final Step Action Penalty,Control Effort (sum_a^2)
PINN with PPO,-9.9498e-05,2.6089e-06,2.8849e-06,9.9498e-03
PINN Baseline,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00
