#{"t_start": 1748266838.0767527, "env_id": "None"}
r,l,t
-11.207304,20,0.837804
-9.468925,20,0.86381
-9.882417,20,0.88832
-10.223225,20,0.912321
-10.981657,20,0.93532
-7.523831,20,0.960324
-11.263798,20,0.983367
-6.956151,20,1.007376
-8.741692,20,1.030888
-10.854594,20,1.054891
-9.021499,20,1.080399
-9.844566,20,1.104399
-13.265869,20,1.127399
-11.712971,20,1.1514
-11.282332,20,1.176912
-8.806497,20,1.199912
-9.382742,20,1.224913
-7.58306,20,1.248913
-15.50791,20,1.275436
-12.182336,20,1.299433
-10.761525,20,1.325427
-10.660386,20,1.350427
-12.951584,20,1.375492
-8.936241,20,1.403503
-10.56844,20,1.42749
-8.979735,20,1.452491
-8.549345,20,1.476956
-8.829117,20,1.502958
-12.019703,20,1.526956
-11.482021,20,1.550957
-10.76491,20,1.574469
-10.563472,20,1.604468
-8.707919,20,1.62947
-11.760834,20,1.654472
-9.784302,20,1.678979
-7.979468,20,1.705991
-9.968314,20,1.729979
-9.023828,20,1.753985
-8.257562,20,1.777491
-11.453589,20,1.804493
-10.137148,20,1.827493
-12.057571,20,1.852493
-10.781407,20,1.876008
-8.762265,20,1.899008
-8.957765,20,1.925008
-10.513224,20,1.948008
-12.301872,20,1.972522
-9.312046,20,1.995521
-6.793485,20,2.01952
-9.195572,20,2.04352
-10.857535,20,2.06603
-11.245597,20,2.090545
-9.126986,20,2.114538
-12.901814,20,2.13985
-12.404037,20,2.163856
-9.512405,20,2.187366
-9.356694,20,2.210367
-8.453692,20,2.235366
-9.645427,20,2.258372
-9.080185,20,2.282401
-11.097174,20,2.305398
-10.961024,20,2.3304
-9.66237,20,2.354406
-10.228808,20,2.377918
-10.087079,20,2.401917
-8.648459,20,2.424917
-6.373775,20,2.449917
-9.674532,20,2.473434
-13.171582,20,2.497434
-10.114363,20,2.521434
-10.235189,20,2.545432
-9.166943,20,2.567437
-10.675779,20,2.591722
-8.196955,20,2.615722
-11.095623,20,2.638719
-11.008197,20,2.663726
-10.848505,20,2.687764
-8.976994,20,2.716764
-11.120843,20,2.738776
-10.655772,20,2.762341
-9.164103,20,2.787853
-11.788884,20,2.809854
-8.585263,20,2.832854
-9.73576,20,2.855856
-9.299236,20,2.879368
-8.311623,20,2.902365
-10.832704,20,2.924368
-10.215474,20,2.946368
-13.143194,20,2.971884
-13.211318,20,2.994884
-10.433693,20,3.016887
-7.614509,20,3.039885
-10.467745,20,3.061887
-10.922932,20,3.086422
-10.755137,20,3.108428
-6.536936,20,3.130419
-11.307387,20,3.152421
-11.340473,20,3.176937
-10.083012,20,3.199938
-10.716285,20,3.223935
-7.944458,20,3.244936
-11.038725,20,3.26794
-7.717312,20,4.262537
-12.450506,20,4.284965
-8.800667,20,4.306902
-10.944375,20,4.327964
-8.53982,20,4.352893
-9.597771,20,4.375427
-9.386457,20,4.398427
-8.805871,20,4.419428
-9.66604,20,4.445427
-11.649653,20,4.468421
-8.379514,20,4.491509
-8.801056,20,4.513505
-11.352061,20,4.536507
-7.697416,20,4.560509
-11.391431,20,4.583538
-13.395905,20,4.607538
-10.012172,20,4.629538
-10.773039,20,4.653537
-9.993109,20,4.677579
-8.77643,20,4.70157
-14.619851,20,4.72457
-10.081456,20,4.747579
-10.33342,20,4.771855
-9.217032,20,4.794864
-9.772519,20,4.818863
-7.788281,20,4.840864
-10.58477,20,4.86486
-8.531671,20,4.889378
-9.055007,20,4.912378
-7.178395,20,4.934369
-6.977462,20,4.956389
-8.736171,20,4.980908
-8.933386,20,5.005909
-10.434744,20,5.040908
-8.340588,20,5.072985
-11.283258,20,5.097058
-10.475932,20,5.120523
-11.296247,20,5.142522
-12.489853,20,5.164539
-10.579789,20,5.190068
-9.733925,20,5.225067
-10.222888,20,5.247135
-11.327233,20,5.26958
-11.722703,20,5.293585
-8.101937,20,5.317605
-10.158868,20,5.340593
-13.095426,20,5.362608
-11.925345,20,5.386125
-8.216144,20,5.410132
-9.301841,20,5.433132
-9.117564,20,5.456149
-8.247355,20,5.477661
-10.776068,20,5.501655
-12.436558,20,5.524656
-9.075099,20,5.547761
-7.331485,20,5.570206
-6.972726,20,5.592206
-10.037245,20,5.617197
-9.880724,20,5.640205
-11.799716,20,5.662221
-9.981998,20,5.684916
-8.490156,20,5.709924
-12.213185,20,5.732923
-8.024548,20,5.756941
-11.684439,20,5.778616
-10.812108,20,5.800468
-7.823111,20,5.825458
-7.618976,20,5.848533
-11.765233,20,5.8707
-11.480322,20,5.893713
-8.004978,20,5.916709
-10.556553,20,5.939709
-10.862302,20,5.961726
-8.577697,20,5.984404
-10.268277,20,6.007378
-8.749921,20,6.032385
-9.661366,20,6.056396
