mean_cumulative_reward,std_cumulative_reward,mean_mse_vs_target_over_time,mean_final_mse_vs_target,mean_control_effort,scenario
-6.8993e-07,5.6843e-14,3.4497e-08,2.4066e-08,6.8993e-05,PPO Controlled PINN
0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,0.0000e+00,Baseline PINN (Fixed Control)
