#{"t_start": 1748265526.3846576, "env_id": "None"}
r,l,t
-104.980998,200,74.297495
-157.021317,200,74.527395
-114.459673,200,75.272995
-147.060245,200,75.463059
-101.345166,200,75.669116
-168.989692,200,75.873169
-165.569044,200,76.083193
-121.586395,200,76.779843
-109.20136,200,76.991392
-109.734669,200,77.231448
-160.382272,200,77.442522
-179.985293,200,77.650133
-112.609115,200,77.860747
-127.557891,200,78.595838
-126.114381,200,78.801705
-117.652343,200,79.008272
-163.185714,200,79.216355
-134.159061,200,79.404421
-131.067703,200,80.063465
-115.069453,200,80.271754
-113.262324,200,80.510929
-158.122718,200,80.713112
-117.275508,200,80.909176
-127.244469,200,81.55195
-110.942185,200,81.750165
-157.186948,200,81.95221
-189.660064,200,82.153772
-149.081807,200,82.367715
-135.926955,200,83.060176
-93.959386,200,83.261775
-130.891639,200,83.46182
-97.442731,200,83.659865
-133.027579,200,83.858908
-128.237051,200,84.508567
-118.394974,200,84.721604
-177.481911,200,84.953797
-167.070749,200,85.158357
-115.34541,200,85.360403
-133.506408,200,86.008779
-105.156942,200,86.211217
-146.729081,200,86.41835
-130.154776,200,86.638151
-130.341772,200,86.879257
-113.879642,200,87.528151
-115.968141,200,87.743721
-161.841166,200,87.965634
-114.978915,200,88.171678
-147.639505,200,88.379779
-100.517483,200,89.086484
-139.399311,200,89.289731
-164.315584,200,89.491803
-126.220178,200,89.70787
-126.820496,200,89.909462
-183.556277,200,90.567695
-158.396736,200,90.775722
-128.93406,200,91.0022
-157.450351,200,91.225292
-161.822943,200,91.942857
-179.570678,200,92.130409
-162.104014,200,92.779491
-136.395896,200,93.019556
-167.564843,200,93.243207
-100.970234,200,93.448767
-170.623707,200,93.653815
-117.020083,200,94.318866
-153.721626,200,94.526317
-102.257811,200,94.730308
-132.074947,200,94.949903
-145.796041,200,95.172951
-159.171946,200,95.862685
-154.87446,200,96.05839
-130.934206,200,96.259443
-194.998118,200,96.460029
-163.051765,200,96.654588
-104.07954,200,97.319575
-162.331273,200,97.520141
-140.242004,200,97.728202
-138.199256,200,97.960503
-147.130548,200,98.17614
-130.237402,200,98.839816
-137.636549,200,99.042013
-158.102225,200,99.244544
-96.277991,200,99.454094
-134.296177,200,99.656653
-150.278734,200,100.33308
-115.751229,200,100.52866
-161.864113,200,100.725744
-192.560938,200,100.919803
-153.347058,200,101.120859
-121.892631,200,101.772159
-200.340602,200,101.993125
-101.008869,200,102.22121
-114.653377,200,102.429232
-141.503415,200,102.63433
-171.588629,200,103.325611
-119.441733,200,103.528229
-173.710948,200,103.731361
-117.246933,200,103.960753
-124.711535,200,104.18577
-183.456997,200,104.381191
-141.945637,200,105.059667
-164.406554,200,105.263737
-119.730222,200,105.468275
-100.704236,200,105.667808
-125.097784,200,105.862954
-111.372542,200,106.621286
-188.958251,200,106.842841
-176.268812,200,107.051324
-176.57187,200,107.262853
-133.182349,200,107.449374
-126.415227,200,108.176775
-154.404482,200,108.386898
-119.653276,200,108.591954
-169.191739,200,108.796515
-107.050861,200,108.989558
-161.829166,200,109.637544
-175.423045,200,109.841574
-123.902792,200,110.082712
-106.519175,200,110.287597
-131.116095,200,110.486637
-138.200757,200,111.152997
-167.893554,200,111.369861
-111.300252,200,111.582419
-151.406835,200,111.786984
-127.661727,200,112.002033
-96.535475,200,112.717209
-110.810725,200,112.929751
