#{"t_start": 1748318511.7280183, "env_id": "None"}
r,l,t
-0.009766,20,8.552752
-0.00894,20,8.578857
-0.007949,20,8.604969
-0.009561,20,8.634629
-0.007256,20,8.664169
-0.008795,20,8.690216
-0.010127,20,8.717766
-0.011851,20,8.747821
-0.00621,20,8.775366
-0.011058,20,8.802406
-0.010773,20,8.830962
-0.00935,20,8.860528
-0.011863,20,8.887673
-0.009417,20,8.913708
-0.010446,20,8.940893
-0.012917,20,8.970992
-0.013853,20,8.998067
-0.010805,20,9.025611
-0.013014,20,9.053662
-0.010816,20,9.084212
-0.009327,20,9.111258
-0.013864,20,9.137315
-0.009028,20,9.164854
-0.011784,20,9.194397
-0.009284,20,9.221442
-0.012216,20,9.247499
-0.009854,20,9.278299
-0.011951,20,9.305077
-0.012233,20,9.331735
-0.011764,20,9.362388
-0.011137,20,9.391904
-0.008938,20,9.4213
-0.01138,20,9.451213
-0.011882,20,9.481732
-0.011582,20,9.507909
-0.008957,20,9.534951
-0.007577,20,9.561155
-0.013496,20,9.589606
-0.009772,20,9.616019
-0.012184,20,9.642566
-0.009039,20,9.668808
-0.012614,20,9.696366
-0.007219,20,9.722389
-0.010154,20,9.749418
-0.00782,20,9.775943
-0.01041,20,9.805033
-0.009367,20,9.832191
-0.010095,20,9.858922
-0.009693,20,9.886432
-0.006438,20,9.915452
-0.009762,20,9.94351
-0.010763,20,9.970062
-0.010575,20,9.995861
-0.009029,20,10.024397
-0.008864,20,10.050715
-0.013138,20,10.076916
-0.007003,20,10.10471
-0.012088,20,10.13433
-0.009669,20,10.160863
-0.00942,20,10.187406
-0.00928,20,10.215773
-0.011549,20,10.242591
-0.007645,20,10.2687
-0.00996,20,10.296265
-0.013745,20,11.409721
-0.011434,20,11.440003
-0.011392,20,11.467655
-0.010973,20,11.495819
-0.01144,20,11.521838
-0.009124,20,11.548435
-0.009534,20,11.573532
-0.007252,20,11.599661
-0.00884,20,11.62721
-0.01199,20,11.652753
-0.008445,20,11.680298
-0.009187,20,11.70585
-0.01446,20,11.734529
-0.013963,20,11.761584
-0.009816,20,11.787637
-0.009206,20,11.814659
-0.011635,20,11.840659
-0.007242,20,11.866718
-0.012099,20,11.891745
-0.011442,20,11.916839
-0.007538,20,11.945496
-0.009152,20,11.971048
-0.012192,20,11.9976
-0.008725,20,12.023633
-0.010999,20,12.051689
-0.010127,20,12.07724
-0.01066,20,12.103781
-0.010695,20,12.128828
-0.010168,20,12.155891
-0.008961,20,12.181925
-0.009524,20,12.208476
-0.008857,20,12.235526
-0.008266,20,12.261564
-0.007662,20,12.288115
-0.009909,20,12.313653
-0.013423,20,12.339209
-0.00897,20,12.36576
-0.005899,20,12.391793
-0.009593,20,12.423529
-0.00653,20,12.452072
-0.008767,20,12.479667
-0.00791,20,12.505273
-0.012817,20,12.531824
-0.012738,20,12.558374
-0.008936,20,12.585918
-0.007129,20,12.612957
-0.008872,20,12.639017
-0.008035,20,12.665561
-0.011626,20,12.69511
-0.009107,20,12.722149
-0.009628,20,12.750213
-0.007662,20,12.783756
-0.008288,20,12.809871
-0.007713,20,12.838974
-0.006292,20,12.865649
-0.010713,20,12.893684
-0.013586,20,12.92073
-0.010905,20,12.947792
-0.01047,20,12.974329
-0.010615,20,13.002374
-0.008402,20,13.029925
-0.008959,20,13.05698
-0.011486,20,13.083518
-0.009162,20,13.111563
-0.01037,20,13.138642
-0.009441,20,13.165188
-0.013146,20,13.192226
-0.009462,20,13.219616
-0.009359,20,13.246169
-0.012987,20,13.272202
-0.010148,20,13.298752
-0.01161,20,13.327301
-0.009007,20,13.353844
-0.008754,20,13.380889
-0.010625,20,13.407439
-0.010677,20,13.434987
-0.010009,20,13.46202
-0.008796,20,13.48857
-0.00968,20,13.516121
-0.008931,20,13.545164
-0.008597,20,13.572203
-0.008225,20,13.598754
-0.010961,20,13.626304
-0.009186,20,13.654942
-0.007081,20,13.681012
-0.007646,20,13.708618
-0.011842,20,13.735795
-0.008425,20,13.764996
-0.010146,20,13.791545
-0.013962,20,13.818653
-0.009908,20,13.847251
-0.011335,20,13.874796
-0.008727,20,13.902835
-0.009721,20,13.929376
-0.009857,20,13.959009
-0.009872,20,13.986664
-0.010632,20,14.013724
-0.008138,20,14.041749
-0.011401,20,14.070845
-0.007344,20,14.098396
-0.009625,20,14.12594
-0.011613,20,14.152484
-0.011839,20,15.169742
-0.010274,20,15.195745
-0.009601,20,15.221791
-0.00844,20,15.249672
-0.011133,20,15.274717
-0.009062,20,15.300601
-0.011201,20,15.3258
-0.008863,20,15.352382
-0.008681,20,15.3786
-0.012534,20,15.403709
-0.010272,20,15.430429
-0.007699,20,15.457083
-0.010163,20,15.482672
-0.011739,20,15.507933
-0.011578,20,15.532745
-0.010861,20,15.559873
-0.01135,20,15.583482
-0.00809,20,15.607032
-0.009852,20,15.63062
-0.00857,20,15.653607
-0.011818,20,15.681267
-0.008134,20,15.705627
-0.012455,20,15.729937
-0.012877,20,15.754612
-0.012324,20,15.780505
-0.007963,20,15.805266
-0.009524,20,15.828803
-0.008777,20,15.851884
-0.007648,20,15.87706
-0.010911,20,15.901091
-0.01131,20,15.936961
-0.009655,20,15.961006
-0.010493,20,15.98964
-0.011291,20,16.013801
-0.009852,20,16.03747
-0.008897,20,16.060435
-0.009903,20,16.083485
-0.011489,20,16.109078
-0.010326,20,16.133454
-0.010625,20,16.157498
-0.014973,20,16.182206
-0.009602,20,16.207497
-0.01184,20,16.231791
-0.010779,20,16.255656
-0.010621,20,16.278684
-0.011992,20,16.305451
-0.00818,20,16.32973
-0.014619,20,16.353743
-0.012737,20,16.378142
-0.014714,20,16.401824
-0.011626,20,16.428174
-0.010727,20,16.451919
-0.010553,20,16.475479
-0.011616,20,16.499094
-0.009458,20,16.523876
-0.008499,20,16.548858
-0.01336,20,16.572477
-0.008047,20,16.596593
-0.00931,20,16.619631
-0.012283,20,16.645507
-0.011999,20,16.669619
-0.010944,20,16.692677
-0.008115,20,16.718767
-0.010793,20,16.747573
-0.009952,20,16.775794
-0.010672,20,16.802896
-0.010169,20,16.830581
-0.00696,20,16.858644
-0.012078,20,16.885185
-0.009869,20,16.911222
-0.009999,20,16.937768
-0.009729,20,16.966524
-0.009785,20,16.993566
-0.011241,20,17.020642
-0.009267,20,17.049746
-0.010318,20,17.082311
-0.009981,20,17.111866
-0.010205,20,17.139478
-0.010727,20,17.168518
-0.009443,20,17.196066
-0.00865,20,17.222097
-0.011741,20,17.248645
-0.009188,20,17.279185
-0.007937,20,17.305734
-0.007573,20,17.332766
-0.010689,20,17.359314
-0.008495,20,17.388862
-0.010958,20,17.415405
-0.009534,20,17.440955
-0.011515,20,17.467501
-0.00563,20,17.496557
-0.008494,20,17.542135
-0.010902,20,17.569683
-0.011163,20,17.597784
-0.010669,20,17.624944
-0.007532,20,17.652536
-0.009755,20,17.67974
-0.011118,20,17.719884
-0.008377,20,17.747606
-0.010938,20,17.775666
-0.008429,20,17.804278
-0.010023,20,17.83587
-0.010397,20,17.866037
-0.009263,20,18.88854
-0.0103,20,18.918979
-0.008509,20,18.947844
-0.006027,20,18.975246
-0.012109,20,19.002002
-0.009316,20,19.028977
-0.009093,20,19.053526
-0.010418,20,19.082184
-0.011275,20,19.107642
-0.010513,20,19.13419
-0.007344,20,19.160839
-0.007364,20,19.188924
-0.011923,20,19.215114
-0.012001,20,19.238607
-0.009521,20,19.262632
-0.009456,20,19.286187
-0.007357,20,19.311228
-0.009904,20,19.334776
-0.013134,20,19.359865
-0.010006,20,19.383883
-0.009378,20,19.409802
-0.010005,20,19.434892
-0.013847,20,19.459409
-0.011598,20,19.48461
-0.008595,20,19.512773
-0.010952,20,19.536417
-0.010266,20,19.560361
-0.012831,20,19.584927
-0.013218,20,19.609483
-0.008479,20,19.635041
-0.008633,20,19.6606
-0.00963,20,19.68487
-0.007541,20,19.708759
-0.008159,20,19.733797
-0.010635,20,19.758481
-0.011188,20,19.782521
-0.012159,20,19.806641
-0.00878,20,19.837279
-0.008212,20,19.872828
-0.013908,20,19.897363
-0.009932,20,19.921395
-0.011745,20,19.947785
-0.012713,20,19.971908
-0.010313,20,19.99578
-0.008457,20,20.020813
-0.010476,20,20.045882
-0.010554,20,20.070925
-0.009481,20,20.093628
-0.008671,20,20.119322
-0.008157,20,20.142596
-0.011754,20,20.168893
-0.010249,20,20.192903
-0.010735,20,20.216684
-0.011366,20,20.241459
-0.010638,20,20.267751
-0.008464,20,20.292777
-0.005291,20,20.316991
-0.008551,20,20.340739
-0.006959,20,20.364945
-0.010961,20,20.391505
-0.008603,20,20.415572
-0.010992,20,20.439716
-0.005125,20,20.464765
-0.010926,20,20.489776
-0.009104,20,20.517558
-0.006889,20,20.544852
-0.010514,20,20.570884
-0.011472,20,20.600225
-0.010152,20,20.626784
-0.013283,20,20.654755
-0.006872,20,20.681781
-0.00789,20,20.710445
-0.015048,20,20.737674
-0.009166,20,20.763578
-0.013597,20,20.791085
-0.008801,20,20.818627
-0.012464,20,20.845701
-0.010354,20,20.872738
-0.010524,20,20.899293
-0.010298,20,20.928855
-0.012965,20,20.955783
-0.008652,20,20.983593
-0.010008,20,21.013878
-0.012931,20,21.04196
-0.011506,20,21.068308
-0.012133,20,21.10002
-0.008109,20,21.131573
-0.012631,20,21.160458
-0.009119,20,21.190011
-0.010903,20,21.217561
-0.008652,20,21.24564
-0.014105,20,21.272678
-0.008326,20,21.298792
-0.010431,20,21.325965
-0.007188,20,21.355042
-0.006498,20,21.382073
-0.010679,20,21.40936
-0.011199,20,21.439178
-0.008945,20,21.466702
-0.009879,20,21.494633
-0.009161,20,21.522249
-0.012237,20,21.551647
-0.012649,20,22.546484
-0.007763,20,22.572507
-0.008507,20,22.599039
-0.013263,20,22.627573
-0.008928,20,22.653614
-0.008224,20,22.679649
-0.011171,20,22.70618
-0.011096,20,22.734939
-0.007908,20,22.760665
-0.010892,20,22.787212
-0.007785,20,22.814754
-0.006855,20,22.841295
-0.0077,20,22.868846
-0.010087,20,22.896196
-0.009989,20,22.920755
-0.008737,20,22.949689
-0.007726,20,22.975231
-0.012705,20,22.999267
-0.011347,20,23.022299
-0.007925,20,23.050343
-0.007305,20,23.074479
-0.011137,20,23.09853
-0.010661,20,23.123712
-0.007626,20,23.147898
-0.012968,20,23.174455
-0.009394,20,23.198998
-0.010732,20,23.223536
-0.006797,20,23.248085
-0.012945,20,23.274659
-0.010483,20,23.298813
-0.007311,20,23.324896
-0.011496,20,23.348412
-0.009484,20,23.375482
-0.010003,20,23.40052
-0.010952,20,23.424613
-0.010716,20,23.448694
-0.006314,20,23.474786
-0.009008,20,23.500891
-0.012356,20,23.524476
-0.007851,20,23.549502
-0.011809,20,23.574782
-0.008469,20,23.599878
-0.01213,20,23.623606
-0.009877,20,23.648707
-0.010278,20,23.672792
-0.010426,20,23.698873
-0.011237,20,23.722395
-0.012188,20,23.746534
-0.010135,20,23.770641
-0.011141,20,23.796735
-0.008543,20,23.821792
-0.009411,20,23.847867
-0.012512,20,23.871409
-0.006985,20,23.897583
-0.006433,20,23.921652
-0.009132,20,23.946888
-0.009414,20,23.970421
-0.011406,20,23.994635
-0.009977,20,24.020667
-0.009268,20,24.044745
-0.013292,20,24.068843
-0.009984,20,24.093414
-0.009838,20,24.121792
-0.009562,20,24.148474
-0.008303,20,24.174597
-0.006743,20,24.202626
-0.00777,20,24.231677
-0.00831,20,24.258729
-0.010215,20,24.285272
-0.012587,20,24.31231
-0.013536,20,24.347878
-0.010734,20,24.377424
-0.011173,20,24.406971
-0.012122,20,24.437514
-0.008426,20,24.470573
-0.007252,20,24.498121
-0.008262,20,24.524664
-0.008077,20,24.552784
-0.011746,20,24.57987
-0.009762,20,24.606484
-0.013209,20,24.63258
-0.008322,20,24.661142
-0.011583,20,24.688692
-0.009536,20,24.715235
-0.014005,20,24.741783
-0.010982,20,24.770275
-0.008109,20,24.796823
-0.01115,20,24.824358
-0.010439,20,24.853909
-0.008375,20,24.880458
-0.014162,20,24.909578
-0.010503,20,24.935743
-0.009335,20,24.964847
-0.008465,20,24.99194
-0.012307,20,25.018523
-0.01027,20,25.045602
-0.009201,20,25.07446
-0.010518,20,25.10152
-0.014385,20,25.12868
-0.008951,20,25.155734
-0.014607,20,25.183834
-0.010681,20,25.21251
-0.010418,20,26.237937
-0.010705,20,26.267001
-0.008527,20,26.292033
-0.008702,20,26.318581
-0.005678,20,26.344634
-0.007928,20,26.375219
-0.011994,20,26.40775
-0.010311,20,26.435818
-0.007748,20,26.463462
-0.012871,20,26.489577
-0.008383,20,26.516704
-0.012269,20,26.541765
-0.012158,20,26.569385
-0.008122,20,26.595023
-0.011604,20,26.619555
-0.009645,20,26.643644
-0.007083,20,26.671786
-0.006613,20,26.696896
-0.010932,20,26.722465
-0.006854,20,26.747588
-0.010627,20,26.774147
-0.007452,20,26.798189
-0.006369,20,26.82222
-0.008283,20,26.847279
-0.007764,20,26.87131
-0.010581,20,26.898914
-0.008879,20,26.923484
-0.009201,20,26.948789
-0.007462,20,26.974591
-0.009557,20,27.001066
-0.00926,20,27.027609
-0.008333,20,27.051985
-0.009766,20,27.078553
-0.00733,20,27.105609
-0.010867,20,27.131738
-0.008953,20,27.156559
-0.010313,20,27.182601
-0.008646,20,27.208961
-0.0079,20,27.235512
-0.008314,20,27.261033
-0.010502,20,27.286655
-0.010056,20,27.314461
-0.011255,20,27.340003
-0.010929,20,27.365551
-0.010395,20,27.391588
-0.007773,20,27.419688
-0.012718,20,27.446792
-0.009718,20,27.471882
-0.010499,20,27.497922
-0.008387,20,27.525445
-0.008425,20,27.551997
-0.008954,20,27.579548
-0.009932,20,27.605092
-0.00919,20,27.632132
-0.00932,20,27.658196
-0.008895,20,27.683734
-0.010126,20,27.709779
-0.01112,20,27.748081
-0.009518,20,27.773692
-0.010027,20,27.799182
-0.010811,20,27.823731
-0.008408,20,27.853946
-0.009061,20,27.880506
-0.00796,20,27.907693
-0.008983,20,27.937772
-0.010459,20,27.969999
-0.008433,20,28.000547
-0.013314,20,28.031644
-0.011867,20,28.063703
-0.005522,20,28.091953
-0.009996,20,28.121566
-0.011254,20,28.151833
-0.01102,20,28.182825
-0.008999,20,28.21057
-0.010632,20,28.241679
-0.007561,20,28.275079
-0.00894,20,28.306137
-0.007784,20,28.336682
-0.009897,20,28.365734
-0.010979,20,28.395805
-0.009226,20,28.426358
-0.009162,20,28.457413
-0.011516,20,28.487965
-0.008551,20,28.518594
-0.009247,20,28.548652
-0.008828,20,28.578196
-0.011739,20,28.607862
-0.009853,20,28.637517
-0.007072,20,28.666609
-0.011452,20,28.697023
-0.008823,20,28.725565
-0.00894,20,28.756732
-0.010963,20,28.786949
-0.010341,20,28.81961
-0.010512,20,28.849729
-0.008564,20,28.880811
-0.012321,20,28.912331
-0.0099,20,28.941381
-0.013036,20,28.970114
-0.010959,20,28.999738
-0.005532,20,29.029561
-0.010282,20,29.056274
-0.011776,20,29.082284
-0.008821,20,30.101707
-0.009516,20,30.128252
-0.009788,20,30.153776
-0.011958,20,30.180863
-0.005966,20,30.208416
-0.007806,20,30.234592
-0.006115,20,30.261642
-0.008894,20,30.28777
-0.009637,20,30.314984
-0.007695,20,30.34053
-0.012082,20,30.367581
-0.008366,20,30.392612
-0.008092,20,30.421164
-0.008884,20,30.446221
-0.010702,20,30.470252
-0.008689,20,30.495801
-0.009326,20,30.523831
-0.010583,20,30.549883
-0.010691,20,30.574424
-0.011248,20,30.600468
-0.011087,20,30.627005
-0.006751,20,30.653557
-0.011178,20,30.679104
-0.012678,20,30.704647
-0.007692,20,30.736714
-0.007067,20,30.768782
-0.008834,20,30.794393
-0.012234,20,30.81946
-0.011163,20,30.846844
-0.006619,20,30.871879
-0.00753,20,30.898429
-0.01124,20,30.923463
-0.009969,20,30.950997
-0.009153,20,30.975596
-0.008122,20,31.001046
-0.008334,20,31.026664
-0.010616,20,31.053665
-0.010385,20,31.08031
-0.009619,20,31.105857
-0.011609,20,31.13189
-0.006806,20,31.158447
-0.010261,20,31.1855
-0.010855,20,31.211539
-0.006511,20,31.236089
-0.006992,20,31.264649
-0.009529,20,31.287675
-0.007211,20,31.311769
-0.006344,20,31.334881
-0.010651,20,31.359499
-0.010682,20,31.38459
-0.007925,20,31.408254
-0.006976,20,31.43092
-0.008125,20,31.455458
-0.008157,20,31.481484
-0.008172,20,31.50702
-0.012337,20,31.534554
-0.007978,20,31.56157
-0.009888,20,31.589105
-0.007261,20,31.617638
-0.008356,20,31.644165
-0.008405,20,31.672194
-0.009498,20,31.703729
-0.010249,20,31.732255
-0.010518,20,31.760797
-0.006683,20,31.791669
-0.00951,20,31.820769
-0.008203,20,31.848405
-0.009292,20,31.874955
-0.011084,20,31.905302
-0.00968,20,31.93485
-0.007384,20,31.963888
-0.008833,20,31.992437
-0.012495,20,32.024487
-0.006719,20,32.054548
-0.009206,20,32.084091
-0.008981,20,32.114643
-0.005554,20,32.142712
-0.007486,20,32.171885
-0.009431,20,32.201509
-0.008166,20,32.232783
-0.004137,20,32.261977
-0.010692,20,32.288566
-0.01138,20,32.315659
-0.005751,20,32.348051
-0.007524,20,32.375571
-0.007774,20,32.405513
-0.011946,20,32.436116
-0.009423,20,32.466175
-0.004969,20,32.495721
-0.00792,20,32.524257
-0.010647,20,32.554809
-0.005248,20,32.581846
-0.010645,20,32.607394
-0.007653,20,32.633931
-0.006678,20,32.661974
-0.009118,20,32.688523
-0.007539,20,32.715065
-0.011547,20,32.741102
-0.009282,20,32.77165
-0.007374,20,32.798697
-0.009813,20,32.836496
-0.007181,20,32.871978
-0.007612,20,33.904155
-0.011021,20,33.931197
-0.007615,20,33.95625
-0.008455,20,33.982283
-0.008528,20,34.00783
-0.007186,20,34.034373
-0.011446,20,34.061914
-0.004767,20,34.086464
-0.007511,20,34.113493
-0.008916,20,34.138602
-0.008932,20,34.167698
-0.010734,20,34.192799
-0.007957,20,34.218828
-0.010156,20,34.24442
-0.006125,20,34.270959
-0.008598,20,34.295048
-0.009919,20,34.320086
-0.00605,20,34.344629
-0.006598,20,34.370172
-0.008602,20,34.394716
-0.007033,20,34.418753
-0.005494,20,34.443785
-0.00852,20,34.468832
-0.009904,20,34.492864
-0.009699,20,34.516412
-0.008421,20,34.540444
-0.007354,20,34.564492
-0.00944,20,34.590528
-0.009254,20,34.614065
-0.007984,20,34.638108
-0.007259,20,34.661645
-0.007454,20,34.686726
-0.009587,20,34.710927
-0.006882,20,34.736131
-0.008641,20,34.762692
-0.01007,20,34.78878
-0.007226,20,34.812796
-0.011694,20,34.837853
-0.008504,20,34.8621
-0.00844,20,34.886431
-0.011262,20,34.912035
-0.01108,20,34.937592
-0.007171,20,34.962336
-0.009414,20,34.98688
-0.010467,20,35.012483
-0.008127,20,35.037536
-0.007103,20,35.061586
-0.007561,20,35.085207
-0.010646,20,35.112235
-0.007338,20,35.139323
-0.007719,20,35.165905
-0.009207,20,35.191949
-0.009538,20,35.220503
-0.008918,20,35.2466
-0.008835,20,35.274647
-0.006077,20,35.302692
-0.00812,20,35.332896
-0.004573,20,35.358955
-0.007522,20,35.386031
-0.009142,20,35.412282
-0.006263,20,35.440659
-0.006346,20,35.467781
-0.00791,20,35.495487
-0.006638,20,35.522517
-0.008708,20,35.551041
-0.006626,20,35.577688
-0.008411,20,35.604839
-0.01183,20,35.631932
-0.006691,20,35.65954
-0.009349,20,35.685619
-0.008443,20,35.712726
-0.007795,20,35.738791
-0.008966,20,35.766956
-0.006782,20,35.793501
-0.007756,20,35.819643
-0.005337,20,35.848222
-0.004475,20,35.876829
-0.009109,20,35.903461
-0.008803,20,35.930566
-0.006723,20,36.09358
-0.008282,20,36.124739
-0.007484,20,36.153798
-0.00774,20,36.183889
-0.013229,20,36.210936
-0.010116,20,36.238488
-0.006974,20,36.265538
-0.007253,20,36.294076
-0.006662,20,36.322121
-0.006954,20,36.350179
-0.008958,20,36.37673
-0.009817,20,36.405275
-0.009381,20,36.432316
-0.011989,20,36.459884
-0.007199,20,36.487434
-0.010797,20,36.515987
-0.008816,20,36.545531
-0.005966,20,36.575596
-0.007497,20,36.610139
-0.008661,20,36.642684
-0.006797,20,36.680813
-0.008393,20,36.709785
-0.006279,20,36.74103
-0.006582,20,36.771688
-0.007147,20,37.797835
-0.007959,20,37.82287
-0.008804,20,37.850418
-0.0072,20,37.87648
-0.00575,20,37.904907
-0.011687,20,37.931996
-0.009918,20,37.957634
-0.007781,20,37.983726
-0.009769,20,38.011578
-0.005086,20,38.037127
