Scenario,Cumulative Reward,Avg Info Metric (Action Penalty),Final Info Metric (Action Penalty),Total Control Effort (sum_a^2),Avg Info Metric (Distance - 참고용),Final Info Metric (Distance - 참고용),Total Control Effort (sum_a^2 in SimpleEnv)
PINN-PPO,-3.3797e-06,1.7726e-07,1.7715e-07,3.3797e-04,,,
Standalone PPO (on SimpleEnv),-2.3095e-02,,,,4.7810e-01,4.3741e-01,2.3095e+00
