optimizer,epoch_or_step,total_loss,pde_loss,pde_loss_continuity,pde_loss_momentum_x,pde_loss_momentum_y,bc_loss,ic_loss
Adam,1000,0.45794039964675903,0.06909969449043274,0.06687477976083755,0.0015458047855645418,0.0006791108171455562,0.31759417057037354,0.07124654948711395
Adam,2000,0.4460861086845398,0.06864430755376816,0.0661630779504776,0.001703169196844101,0.0007780587766319513,0.3087291121482849,0.06871266663074493
Adam,3000,0.47613269090652466,0.11302588880062103,0.06543760746717453,0.004374925047159195,0.04321334883570671,0.30319955945014954,0.05990727245807648
Adam,4000,0.4039382338523865,0.0685180202126503,0.0634981319308281,0.003605571575462818,0.0014143130974844098,0.2769623398780823,0.0584578812122345
Adam,5000,0.37436607480049133,0.05948705971240997,0.05432276427745819,0.0038446830585598946,0.0013196116778999567,0.26226261258125305,0.05261639878153801
Adam,6000,0.3144359290599823,0.052067775279283524,0.047322046011686325,0.003282038727775216,0.0014636879786849022,0.21483872830867767,0.0475294254720211
Adam,7000,0.2876001000404358,0.04912198707461357,0.038885436952114105,0.008690652437508106,0.0015458993148058653,0.1979101151227951,0.04056798294186592
Adam,8000,0.27557656168937683,0.04048016294836998,0.03196146339178085,0.006350885611027479,0.002167814876884222,0.19103799760341644,0.044058408588171005
Adam,9000,0.2353113740682602,0.03459550440311432,0.030576903373003006,0.0024813225027173758,0.0015372766647487879,0.16810418665409088,0.03261168301105499
Adam,10000,0.2248152792453766,0.033432736992836,0.029060818254947662,0.00286125298589468,0.0015106664504855871,0.16171568632125854,0.029666848480701447
Adam,11000,0.2377272993326187,0.057388123124837875,0.0285299401730299,0.027348631992936134,0.0015095520066097379,0.1548059731721878,0.025533204898238182
Adam,12000,0.3136042654514313,0.0964253842830658,0.027382122352719307,0.06656165421009064,0.00248160888440907,0.15134242177009583,0.06583645939826965
Adam,13000,0.21800430119037628,0.044298745691776276,0.025626378133893013,0.016148068010807037,0.0025243028067052364,0.14495974779129028,0.02874581515789032
Adam,14000,0.2755390405654907,0.045678287744522095,0.02219250239431858,0.016637474298477173,0.006848313845694065,0.14443816244602203,0.0854225903749466
Adam,15000,0.18723532557487488,0.03002425655722618,0.024629568681120872,0.0028854350093752146,0.0025092540308833122,0.13494902849197388,0.022262034937739372
LBFGS,100,0.09960129857063293,0.01731571927666664,0.011554520577192307,0.0036089171189814806,0.002152281580492854,0.07706993818283081,0.005215645767748356
LBFGS,200,0.07675804942846298,0.013975197449326515,0.008184260688722134,0.003207462141290307,0.0025834753178060055,0.05981437489390373,0.002968477550894022
LBFGS,300,0.062254805117845535,0.012413807213306427,0.006640459876507521,0.0030867718160152435,0.002686574589461088,0.04739752411842346,0.0024434735532850027
LBFGS,400,0.05147557333111763,0.010318516753613949,0.0052674803882837296,0.002595945494249463,0.0024550913367420435,0.03891313448548317,0.0022439220920205116
LBFGS,500,0.045135777443647385,0.009082050062716007,0.004770762287080288,0.0021427718456834555,0.00216851569712162,0.03417469561100006,0.0018790318863466382
LBFGS,600,0.04050908237695694,0.0074340240098536015,0.003925025928765535,0.0017420249059796333,0.001766973058693111,0.031235171481966972,0.0018398887477815151
LBFGS,700,0.036356184631586075,0.006414833944290876,0.0033230518456548452,0.001585578778758645,0.001506203319877386,0.02838306501507759,0.0015582864871248603
LBFGS,800,0.03288586065173149,0.006014378275722265,0.0030001425184309483,0.0015943532343953848,0.0014198827557265759,0.02569221891462803,0.001179261482320726
LBFGS,900,0.029803339391946793,0.005633712746202946,0.002762113930657506,0.00151078961789608,0.0013608095468953252,0.023066986352205276,0.0011026411084458232
LBFGS,1000,0.027151305228471756,0.005241664592176676,0.0025015075225383043,0.0014454205520451069,0.0012947364011779428,0.020841270685195923,0.0010683706495910883
LBFGS,1100,0.024720756337046623,0.004844387527555227,0.0022823424078524113,0.0013445505173876882,0.0012174947187304497,0.018909456208348274,0.0009669124847277999
LBFGS,1200,0.022542564198374748,0.004765938967466354,0.0021671527065336704,0.0013365952763706446,0.001262191217392683,0.016862139105796814,0.0009144855430349708
LBFGS,1300,0.02046261914074421,0.004558858927339315,0.002058564219623804,0.0012968687806278467,0.0012034259270876646,0.014999273233115673,0.0009044880280271173
LBFGS,1400,0.018537016585469246,0.00443618930876255,0.0020176786929368973,0.0013322418089956045,0.0010862689232453704,0.013268845155835152,0.000831982702948153
